,RPM (1/s),L/S Ratio,FlowRate (kg/hr),Temperature,nCE,Granulator diameter (mm),L/D Ratio,SA of KE,n KE,Intial D50,Binder Viscosity (mPa.s),Flowability (HR),Bulk Density,nKZ,dKZ,MRT,Exp Fill level,Torque,d50,Beta,Regime,DetTorque,RanTorque,DetMRT,RanMRT,Calc Fill level,Calc Fill volume,Calc Beta,Torque / Fill Volume
52,700,0.1,25.0,25.0,18.0,25,20,60,12,40.0,0.0069,1.46,1520,2,3.0,,,3.63,,,,3.63,3.63,22.26179037,36.29328837,0.5628449812982343,199415.29152500347,0.00364064357576596,18203.2178788298
53,900,0.1,25.0,25.0,18.0,25,20,60,12,40.0,0.0069,1.46,1520,2,3.0,,,2.18,,,,2.18,2.18,19.15670163,18.15758075,0.48433900380282857,171600.719291292,0.0025407818906626523,12703.909453313261
54,400,0.3,2.0,25.0,25.0,16,25,0,0,55.415,0.001,1.26,1520,0,0.0,,,,,0.1049,C,2.492405408,3.6829147260000004,35.41631875,21.00893355,0.21861108455132114,27674.580559945105,0.018012236193435872,90061.18096717936
55,400,0.3,3.5,25.0,25.0,16,25,0,0,55.415,0.001,1.26,1520,0,0.0,,,,,0.0607,C,3.1439973039999995,1.9590250219999998,27.10561382,29.38902143,0.2927966182420946,37065.932021933106,0.016964350456044625,84821.75228022313
56,400,0.3,5.0,25.0,25.0,16,25,0,0,55.415,0.001,1.26,1520,0,0.0,,,,,0.0404,C,4.613971955,4.301706058,12.061480300000001,23.59265277,0.1861270018130692,23562.330870041438,0.039163968797895805,195819.84398947904
57,400,0.3,2.0,25.0,25.0,16,25,0,0,55.415,0.015,1.26,1520,0,0.0,,,,,0.0709,C,2.632837803,1.962318529,42.08227404,32.03241117,0.25975741954463594,32883.408670633406,0.016013168399730174,80065.84199865087
58,400,0.3,3.5,25.0,25.0,16,25,0,0,55.415,0.015,1.26,1520,0,0.0,,,,,0.0405,C,3.314864903,2.233233633,31.48540455,17.35163023,0.3401074049620713,43055.13509058631,0.015398232503628918,76991.16251814459
59,400,0.3,5.0,25.0,25.0,16,25,0,0,55.415,0.015,1.26,1520,0,0.0,,,,,0.0271,C,4.772949512,5.1937397469999995,18.09829728,11.82695826,0.2792842774570568,35355.3675078946,0.026999858004215255,134999.29002107627
60,400,0.3,2.0,25.0,25.0,16,25,0,0,55.415,0.076,1.26,1520,0,0.0,,,,,0.0517,C,3.402235019,1.101294907,55.77556561,6.6812409189999995,0.34428075304877553,43583.450743322916,0.015612508697564432,78062.54348782216
61,400,0.3,3.5,25.0,25.0,16,25,0,0,55.415,0.076,1.26,1520,0,0.0,,,,,0.0308,C,3.83691658,0.870187225,48.31552657,12.11858034,0.5219074868484963,66069.70922481485,0.011614752433506724,58073.76216753362
