,RPM ,L/S Ratio,FlowRate (kg/hr),Temperature,nCE,Granulator diameter (mm),L/D Ratio,SA of KE,n KE,Intial D50,Binder Viscosity (mPa.s),Flowability (HR),Bulk Density,nKZ,dKZ,MRT,Torque,Torque_imp,MRT_imp,DetTorque,DetMRT
125,500.0,0.09,17.5,25.0,18.0,25.0,20.0,60.0,12.0,40.0,0.0083,1.46,1520.0,2.0,3.0,,3.8,3.8,30.75,,
126,700.0,0.09,17.5,25.0,18.0,25.0,20.0,60.0,12.0,40.0,0.0083,1.46,1520.0,2.0,3.0,,2.26,2.26,27.8,,
127,900.0,0.09,17.5,25.0,18.0,25.0,20.0,60.0,12.0,40.0,0.0083,1.46,1520.0,2.0,3.0,,2.18,2.18,20.1,,
128,500.0,0.09,25.0,25.0,18.0,25.0,20.0,60.0,12.0,40.0,0.0083,1.46,1520.0,2.0,3.0,,8.06,8.06,27.77777778,,
129,700.0,0.09,25.0,25.0,18.0,25.0,20.0,60.0,12.0,40.0,0.0083,1.46,1520.0,2.0,3.0,,3.09,3.09,9.5,,
130,900.0,0.09,25.0,25.0,18.0,25.0,20.0,60.0,12.0,40.0,0.0083,1.46,1520.0,2.0,3.0,,2.5,2.5,34.7,,
131,500.0,0.1,10.0,25.0,18.0,25.0,20.0,60.0,12.0,40.0,0.0069,1.46,1520.0,2.0,3.0,,2.48,2.48,26.1,,
132,700.0,0.1,10.0,25.0,18.0,25.0,20.0,60.0,12.0,40.0,0.0069,1.46,1520.0,2.0,3.0,,2.21,2.21,26.1,,
133,900.0,0.1,10.0,25.0,18.0,25.0,20.0,60.0,12.0,40.0,0.0069,1.46,1520.0,2.0,3.0,,2.07,2.07,27.77777778,,
134,500.0,0.1,17.5,25.0,18.0,25.0,20.0,60.0,12.0,40.0,0.0069,1.46,1520.0,2.0,3.0,,4.84,4.84,34.72222222,,
135,700.0,0.1,17.5,25.0,18.0,25.0,20.0,60.0,12.0,40.0,0.0069,1.46,1520.0,2.0,3.0,,2.78,2.78,8.333333332999999,,
136,900.0,0.1,17.5,25.0,18.0,25.0,20.0,60.0,12.0,40.0,0.0069,1.46,1520.0,2.0,3.0,,2.35,2.35,17.0,,
137,500.0,0.1,25.0,25.0,18.0,25.0,20.0,60.0,12.0,40.0,0.0069,1.46,1520.0,2.0,3.0,,6.22,6.22,48.61111111,,
138,700.0,0.1,25.0,25.0,18.0,25.0,20.0,60.0,12.0,40.0,0.0069,1.46,1520.0,2.0,3.0,,3.63,3.63,14.8,,
