,RPM (1/s),L/S Ratio,FlowRate (kg/hr),Temperature,nCE,Granulator diameter (mm),L/D Ratio,SA of KE,n KE,Intial D50,Binder Viscosity (mPa.s),Flowability (HR),Bulk Density,nKZ,dKZ,MRT,Exp Fill level,Torque,d50,Beta,Regime,DetTorque,RanTorque,DetMRT,RanMRT,Calc Fill level,Calc Fill volume,Calc Beta,tot vol,Lalith fill level,Torque / Fill Volume
58,400,0.3,3.5,25.0,25.0,16,25,0,0,55.415,0.015,1.26,650,0,0.0,,,,,0.0405,C,3.314864903,2.233233633,31.48540455,17.35163023,0.336913129,100682.77744260184,0.006584770478525522,126592.7601,0.3995986208508612,32923.85239262761
59,400,0.3,5.0,25.0,25.0,16,25,0,0,55.415,0.015,1.26,650,0,0.0,,,,,0.0271,C,4.772949512,5.1937397469999995,18.09829728,11.82695826,0.37136083799999997,82677.16709538431,0.01154599190969731,126592.76,0.32813637829971665,57729.95954848656
60,400,0.3,2.0,25.0,25.0,16,25,0,0,55.415,0.076,1.26,650,0,0.0,,,,,0.0517,C,3.402235019,1.101294907,55.77556561,6.6812409189999995,0.41703415899999996,101918.2232766936,0.006676401745668998,126592.76,0.40450196642771963,33382.00872834499
61,400,0.3,3.5,25.0,25.0,16,25,0,0,55.415,0.076,1.26,650,0,0.0,,,,,0.0308,C,3.83691658,0.870187225,48.31552657,12.11858034,0.453540375,154501.47387956703,0.0049668349222232715,126592.76,0.6131989745405746,24834.174611116356
62,400,0.3,5.0,25.0,25.0,16,25,0,0,55.415,0.076,1.26,650,0,0.0,,,,,0.0202,C,5.484746435,3.862084033,36.81583421,7.075969095,0.5299628710000001,168183.162738729,0.006522349021965418,126592.76,0.6675000589752833,32611.745109827094
63,400,0.25,3.5,25.0,18.0,16,25,60,16,55.415,0.001,1.26,650,2,6.0,,,,,0.0192,C,1.828134493,3.5387619530000003,35.89405192,16.80388383,0.221559945,114782.56980437177,0.0031853869383056295,126594.9598,0.4380376067955397,15926.934691528148
64,400,0.3,3.5,25.0,18.0,16,25,60,16,55.415,0.001,1.26,650,2,6.0,,,,,0.0158,C,1.962238383,2.513637203,41.85974367,24.52858939,0.45217169700000004,133859.7537136143,0.002931782449261191,126594.9599,0.5312743085766618,14658.912246305956
65,400,0.4,3.5,25.0,18.0,16,25,60,16,55.415,0.001,1.26,650,2,6.0,,,,,0.0143,C,2.176289094,1.222564519,63.96266842,30.2145019,0.987041342,204540.83782894738,0.002127975143838981,126594.96,0.8742457043514482,10639.875719194904
66,400,0.25,3.5,25.0,18.0,16,25,60,16,55.415,0.015,1.26,650,2,6.0,,,,,0.0115,G,2.150811605,1.1406599370000001,74.23674006,27.37746046,0.458234363,237395.42743676825,0.0018120076096013956,126594.96,0.9059574556993891,9060.038048006978
67,400,0.3,3.5,25.0,18.0,16,25,60,16,55.415,0.015,1.26,650,2,6.0,,,,,0.0107,G,2.166692353,1.80378184,56.33913901,31.33349453,0.608579075,180162.19429744247,0.0024052686097093766,126594.9599,0.7150434880659218,12026.343048546883
68,400,0.4,3.5,25.0,18.0,16,25,60,16,55.415,0.015,1.26,650,2,6.0,,,,,0.0096,G,2.229091309,0.786899363,47.83121919,26.75380627,0.738108524,152955.43305450206,0.0029146938614540304,126594.96,0.6537600594798646,14573.469307270152
69,400,0.25,3.5,25.0,18.0,16,25,60,16,55.415,0.076,1.26,650,2,6.0,,,,,0.0096,LG,2.648680174,1.148749622,58.00538942,19.82240364,0.35804458299999997,185490.5563453845,0.0028558652539357765,126594.9601,0.7078761132738709,14279.326269678882
70,400,0.3,3.5,25.0,18.0,16,25,60,16,55.415,0.076,1.26,650,2,6.0,,,,,0.0075,LG,2.797798676,2.2199470569999997,67.00177456,24.60245037,0.7237575629999999,214259.33975330307,0.0026116002030262663,126594.96,0.8503712238038502,13058.00101513133
71,400,0.4,3.5,25.0,18.0,16,25,60,16,55.415,0.076,1.26,650,2,6.0,,,,,0.0071,LG,2.9653389939999997,0.675024906,79.71659547,15.74130262,1.230148418,254918.99617506715,0.0023264951129523003,126594.96,1.0895713527389077,11632.475564761502
72,200,0.11,1.62,35.0,37.5,16,40,60,12,60.0,0.1,1.2,900,2,8.5,39.2,12.2,,,,,2.425281863,2.8483937000000004,39.2,39.2,0.116225371,43269.91044580002,0.011210015634480744,209153.4597,0.08594940556976406,56050.07817240372
73,200,0.11,4.3260000000000005,35.0,37.5,16,40,60,12,60.0,0.1,1.2,900,2,8.5,34.7,24.0,,,,,2.568536026,3.594909355,34.7,34.7,0.274736176,102282.39875948009,0.005022439944999694,209153.4599,0.20316916034847474,25112.19972499847
74,500,0.11,4.056,35.0,37.5,16,40,60,12,60.0,0.1,1.2,900,2,8.5,25.5,14.1,,,,,2.195908092,2.711599657,25.5,25.5,0.189294496,70473.04575441238,0.006231909146235566,209153.4597,0.1399844910441792,31159.54573117783
75,500,0.11,10.812000000000001,35.0,37.5,16,40,60,12,60.0,0.1,1.2,900,2,8.5,21.3,30.3,,,,,2.652129504,4.392527982,21.3,21.3,0.421488277,156917.20187802002,0.0033802916088978433,209153.4598,0.3116932779877198,16901.458044489216
76,350,0.11,1.86,35.0,37.5,16,40,60,12,60.0,0.1,1.2,900,2,8.5,42.6,10.9,,,,,2.284054663,1.5670496219999999,42.6,42.6,0.145018164,53989.27034648857,0.008461142920960233,209153.46,0.10724186035093576,42305.714604801164
77,350,0.11,8.544,35.0,37.5,16,40,60,12,60.0,0.1,1.2,900,2,8.5,22.3,30.5,,,,,2.6579631530000003,4.28438401,22.3,22.3,0.348711252,129822.81369883493,0.004094755116255586,209153.4603,0.2578742029241281,20473.77558127793
78,138,0.11,2.052,35.0,37.5,16,40,60,12,60.0,0.1,1.2,900,2,8.5,46.7,18.6,,,,,2.55593207,1.794454178,46.7,46.7,0.17538566600000002,65294.883568976795,0.007828889279816056,209153.4599,0.12969882238444158,39144.44639908028
79,562,0.11,8.357999999999999,35.0,37.5,16,40,60,12,60.0,0.1,1.2,900,2,8.5,16.9,18.7,,,,,2.395261805,1.7747752559999999,16.9,16.9,0.258516895,96244.07130970237,0.004977473983394411,209153.4597,0.19117489806327606,24887.369916972053
80,350,0.11,5.202000000000001,35.0,37.5,16,40,60,12,60.0,0.1,1.2,900,2,8.5,25.9,16.2,,,,,2.432695674,3.473551823,25.9,25.9,0.246586883,91802.6096025674,0.005299839916385048,209153.46,0.1823525781264855,26499.19958192524
81,350,0.11,5.202000000000001,35.0,37.5,16,40,60,12,60.0,0.1,1.2,900,2,8.5,27.6,18.4,,,,,2.441117787,3.300710584,27.6,27.6,0.262772122,97828.26351470502,0.004990618660287402,209153.4604,0.1943216662660618,24953.09330143701
82,350,0.11,5.202000000000001,35.0,37.5,16,40,60,12,60.0,0.1,1.2,900,2,8.5,26.1,21.2,,,,,2.433686511,2.109888073,26.1,26.1,0.24849102899999997,92511.51006281887,0.00526137019998362,209153.4599,0.18376070614290632,26306.8509999181
83,350,0.11,1.1340000000000001,35.0,37.5,16,40,60,12,60.0,0.1,1.2,900,2,8.5,53.3,9.0,,,,,2.307914189,2.714345615,53.3,53.3,0.110621648,41183.68262073465,0.01120790586045377,209153.4593,0.08180541637265043,56039.52930226885
84,350,0.11,3.786,35.0,37.5,16,40,60,12,60.0,0.1,1.2,900,2,8.5,26.2,17.3,,,,,2.332151262,3.6272854910000003,26.2,26.2,0.18154394100000001,67587.56741043604,0.006901125018563394,209153.4605,0.13425290653443436,34505.62509281697
85,350,0.11,6.624,35.0,37.5,16,40,60,12,60.0,0.1,1.2,900,2,8.5,22.9,22.7,,,,,2.5173674,5.155712311,22.9,22.9,0.277623142,103357.19651611277,0.004871199074381932,209153.4601,0.20530409031108715,24355.99537190966
86,100,0.09,1.0,25.0,15.0,16,25,60,16,170.0,0.565,1.2,650,2,7.0,41.14,13.48314607,,,,,3.3240799869999997,4.55195591,41.14,41.14,0.163555304,37588.932451517714,0.01768648253731284,126597.9603,0.1250869290333943,88432.4126865642
87,300,0.09,1.0,25.0,15.0,16,25,60,16,170.0,0.565,1.2,650,2,7.0,20.1,6.557377048999999,,,,,3.01538013,2.439152378,20.1,20.1,0.07990913,18365.035057742007,0.03283827251643421,126597.9603,0.06111442084519265,164191.36258217104
88,500,0.09,1.0,25.0,15.0,16,25,60,16,170.0,0.565,1.2,650,2,7.0,16.45,5.3571428569999995,,,,,2.7928335310000003,3.2910832389999998,16.45,16.45,0.065398268,15030.090880589843,0.037163228794667116,126597.9605,0.05001652850265766,185816.14397333557
89,900,0.09,1.0,25.0,15.0,16,25,60,16,170.0,0.565,1.2,650,2,7.0,12.3,4.013377926,,,,,2.363346014,1.9945020619999998,12.3,12.3,0.048899617,11238.30503533466,0.04205876253704344,126597.96,0.03739837693511789,210293.81268521718
90,100,0.09,2.0,25.0,15.0,16,25,60,16,170.0,0.565,1.2,650,2,7.0,30.75,20.83333333,,,,,3.3423051860000004,3.8051721880000002,30.75,30.75,0.244498085,56191.525176673305,0.011896118411064185,126597.96,0.18699188467558944,59480.59205532093
91,300,0.09,2.0,25.0,15.0,16,25,60,16,170.0,0.565,1.2,650,2,7.0,18.4,12.5,,,,,3.076657188,5.002739767,18.4,18.4,0.146301293,33623.546772383364,0.018300610633539747,126597.9601,0.11189107896035269,91503.05316769873
92,500,0.09,2.0,25.0,15.0,16,25,60,16,170.0,0.565,1.2,650,2,7.0,14.2,9.652509653,,,,,2.851385788,1.946228834,14.2,14.2,0.11290643300000001,25948.60674825238,0.021977178317614598,126597.9597,0.0863507239802722,109885.89158807299
93,900,0.09,2.0,25.0,15.0,16,25,60,16,170.0,0.565,1.2,650,2,7.0,11.5,7.507507508,,,,,2.429081837,2.777959413,11.5,11.5,0.09143830800000001,21014.716732739606,0.023117911774805353,126597.9602,0.06993192435022044,115589.55887402677
94,100,0.09,3.0,25.0,15.0,16,25,60,16,170.0,0.565,1.2,650,2,7.0,25.35,25.51724138,,,,,3.385251764,1.9268720680000002,25.35,25.35,0.302342754,69485.61771847162,0.009743748059391825,126597.9599,0.23123142812322894,48718.74029695912
95,300,0.09,3.0,25.0,15.0,16,25,60,16,170.0,0.565,1.2,650,2,7.0,17.0,17.12962963,,,,,3.139420501,4.0703873,17.0,17.0,0.20275451,46597.850146509576,0.013474529366180037,126597.9597,0.15506644095048883,67372.64683090018
96,500,0.09,3.0,25.0,15.0,16,25,60,16,170.0,0.565,1.2,650,2,7.0,12.4,12.45791246,,,,,2.912167428,2.379371849,12.4,12.4,0.147891525,33989.0201068658,0.017135930478982774,126597.9596,0.11310728634035656,85679.65239491386
97,900,0.09,3.0,25.0,15.0,16,25,60,16,170.0,0.565,1.2,650,2,7.0,9.45,9.511568123,,,,,2.488624931,2.6729787,9.45,9.45,0.112707654,25902.92258144208,0.01921501269345532,126597.9598,0.08619869805777172,96075.0634672766
98,100,0.09,1.0,25.0,15.0,16,25,60,16,170.0,0.565,1.2,650,2,7.0,41.14,13.48314607,,,,,3.3240799869999997,1.2870636,41.14,41.14,0.163555304,37588.932451517714,0.01768648253731284,126597.9603,0.1250869290333943,88432.4126865642
99,300,0.09,1.0,25.0,15.0,16,25,60,16,170.0,0.565,1.2,650,2,7.0,20.1,6.557377048999999,,,,,3.01538013,3.3691691360000005,20.1,20.1,0.07990913,18365.035057742007,0.03283827251643421,126597.9603,0.06111442084519265,164191.36258217104
100,500,0.09,1.0,25.0,15.0,16,25,60,16,170.0,0.565,1.2,650,2,7.0,16.45,5.3571428569999995,,,,,2.7928335310000003,2.1893798540000002,16.45,16.45,0.065398268,15030.090880589843,0.037163228794667116,126597.9605,0.05001652850265766,185816.14397333557
